Country,Year,Population,GDP
Albania,1970,2154,6205.433594
Albania,1971,2208,6442.900391
Albania,1972,2262,6683.206055
Albania,1973,2317,6916.070801
Albania,1974,2372,7241.638672
Albania,1975,2427,7545.455566
Albania,1976,2483,7811.703613
Albania,1977,2539,8151.574707
Albania,1978,2595,8462.889648
Albania,1979,2655,8734.916992
Albania,1980,2708,9280.454102
Albania,1981,2763,9621.704102
Albania,1982,2818,9739.414063
Albania,1983,2876,10090.51074
Albania,1984,2935,10201.58398
Albania,1985,2995,10303.64453
Albania,1986,3057,10908.19141
Albania,1987,3118,11090.63867
Albania,1988,3180,10877.66113
Albania,1989,3246,11729.66113
Albania,1990,3274,11357.34082
Albania,1991,3281,9346.980469
Albania,1992,3284,7261.637207
Albania,1993,3281,8878.382813
Albania,1994,3274,10678.3125
Albania,1995,3264,11590.7832
Albania,1996,3253,13002.2793
Albania,1997,3239,11999.89551
Albania,1998,3221,13326.32324
Albania,1999,3200,14458.35645
Albania,2000,3178,14699.30859
Albania,2001,3155,15509.93066
Albania,2002,3141,16107.81543
Albania,2003,3127,17250.51563
Albania,2004,3109,18389.39844
Albania,2005,3088,19821.93945
Albania,2006,3064,21375.18945
Albania,2007,3037,23080.73438
Albania,2008,3008,25424.36328
Albania,2009,2978,27040.56641
Albania,2010,2945,29598.83984
Albania,2011,2912,29951.07617
Albania,2012,2911,30658.04492
Albania,2013,2909,29918.08008
Albania,2014,2906,31048.10742
Albania,2015,2901,31924.98047
Albania,2016,2896,32107.82227
Albania,2017,2900,33842.15625
Albania,2018,2897,35204.86328
Albania,2019,2892,35808.34375
Albania,2020,2878,37275.43235
Albania,2021,2866,38802.62842
Albania,2022,2834,40392.39459
Albania,2023,2822,42047.29441
Albania,2024,2802,43769.99643
Albania,2025,2782,45563.27856
Albania,2026,2761,47430.03249
Albania,2027,2741,49373.26841
Albania,2028,2722,51396.11984
Albania,2029,2702,53501.84866
Albania,2030,2682,55693.85041
Albania,2031,2662,57975.65974
Albania,2032,2642,60350.95612
Albania,2033,2622,62823.56977
Albania,2034,2602,65397.48784
Albania,2035,2581,68076.86082
Albania,2036,2560,70866.00927
Albania,2037,2539,73769.43074
Albania,2038,2517,76791.80708
Albania,2039,2496,79938.01192
Albania,2040,2473,83213.1186
Albania,2041,2451,86622.4083
Albania,2042,2428,90171.37858
Albania,2043,2406,93865.75222
Albania,2044,2384,97711.4865
Albania,2045,2362,101714.7827
Albania,2046,2340,105882.0963
Albania,2047,2318,110220.1472
Albania,2048,2296,114735.9305
Albania,2049,2274,119436.7281
Albania,2050,2251,124330.1201
Albania,2051,2229,129423.9971
Albania,2052,2207,134726.5733
Albania,2053,2185,140246.3991
Albania,2054,2162,145992.3754
Albania,2055,2140,151973.7676
Albania,2056,2117,158200.221
Albania,2057,2095,164681.7757
Albania,2058,2073,171428.8835
Albania,2059,2051,178452.4242
Albania,2060,2029,185763.7235
Albania,2061,2007,193374.5709
Albania,2062,1985,201297.2392
Albania,2063,1964,209544.5037
Albania,2064,1942,218129.6635
Albania,2065,1920,227066.5622
Albania,2066,1899,236369.6109
Albania,2067,1878,246053.8109
Albania,2068,1856,256134.7781
Albania,2069,1835,266628.7684
Albania,2070,1813,277552.7036
Albania,2071,1792,288924.1987
Albania,2072,1771,300761.5906
Albania,2073,1749,313083.9673
Albania,2074,1728,325911.1989
Albania,2075,1705,339263.9697
Albania,2076,1683,353163.8111
Albania,2077,1662,367633.1372
Albania,2078,1639,382695.2799
Albania,2079,1617,398374.5273
Albania,2080,1596,414696.1626
Albania,2081,1573,431686.5047
Albania,2082,1551,449372.9511
Albania,2083,1528,467784.0213
Albania,2084,1505,486949.4038
Albania,2085,1483,506900.0031
Albania,2086,1461,527667.9901
Albania,2087,1439,549286.8534
Albania,2088,1417,571791.4542
Albania,2089,1396,595218.0815
Albania,2090,1375,619604.5113
Albania,2091,1354,644990.0673
Albania,2092,1334,671415.6842
Albania,2093,1314,698923.9739
Albania,2094,1295,727559.2942
Albania,2095,1277,757367.8202
Albania,2096,1259,788397.6188
Albania,2097,1242,820698.7262
Albania,2098,1225,854323.2287
Albania,2099,1209,889325.3465
Albania,2100,1193,925761.5214
